region_code,region_name,model,horizon_years,n_origins,first_origin_year,last_origin_year,mae,rmse,mape_pct,mean_error_bias
E12000006,East of England,holt,1,29,1996,2024,8904.2,12324.7,8.04,39.4
E12000006,East of England,linear_trend,1,29,1996,2024,25934.7,28346.9,23.09,810.4
E12000006,East of England,naive,1,29,1996,2024,7341.1,10267.8,6.45,-58.0
E12000006,East of England,ses,1,29,1996,2024,7349.0,10301.3,6.45,-59.2
E12000006,East of England,arima,2,28,1996,2023,17399.9,23943.3,15.51,-40.8
E12000006,East of England,drift,2,28,1996,2023,11885.3,18043.4,10.52,-684.1
E12000006,East of England,ets_damped,2,28,1996,2023,14563.1,20479.4,13.16,-1157.4
E12000006,East of England,holt,2,28,1996,2023,15827.5,22828.5,14.27,-185.6
E12000006,East of England,linear_trend,2,28,1996,2023,31144.9,33209.5,27.58,-236.7
E12000006,East of England,naive,2,28,1996,2023,11203.2,16958.0,9.68,-345.2
E12000006,East of England,ses,2,28,1996,2023,11235.9,16983.8,9.71,-344.6
E12000006,East of England,arima,3,27,1996,2022,26342.0,36258.7,23.51,373.2
E12000006,East of England,drift,3,27,1996,2022,17485.6,24444.7,15.45,-839.9
E12000006,East of England,ets_damped,3,27,1996,2022,20662.3,27657.8,18.64,-1306.6
E12000006,East of England,holt,3,27,1996,2022,22889.4,32546.9,20.62,217.6
E12000006,East of England,linear_trend,3,27,1996,2022,36462.7,38193.4,32.05,-1387.8
E12000006,East of England,naive,3,27,1996,2022,16039.1,22351.5,13.85,-393.9
E12000006,East of England,ses,3,27,1996,2022,16073.2,22371.1,13.87,-394.0
E12000006,East of England,arima,5,25,1996,2020,44804.8,58867.8,39.51,1685.7
E12000006,East of England,drift,5,25,1996,2020,29171.5,36143.0,25.04,-1029.2
E12000006,East of England,ets_damped,5,25,1996,2020,34039.5,40425.8,29.88,-1430.7
E12000006,East of England,holt,5,25,1996,2020,39727.1,52028.3,35.56,1266.9
E12000006,East of England,linear_trend,5,25,1996,2020,46717.8,48362.5,40.17,-3946.4
E12000006,East of England,naive,5,25,1996,2020,25642.4,31299.4,21.74,-461.4
E12000006,East of England,ses,5,25,1996,2020,25685.5,31320.0,21.78,-462.8
E12000007,London,arima,1,29,1996,2024,20128.1,29280.6,7.49,130.6
E12000007,London,drift,1,29,1996,2024,17778.1,25828.6,6.72,-5866.8
E12000007,London,ets_damped,1,29,1996,2024,17966.6,27924.3,6.89,-4394.3
E12000007,London,holt,1,29,1996,2024,18219.9,28841.5,6.82,-3126.9
E12000007,London,linear_trend,1,29,1996,2024,56709.0,65232.8,20.91,-16633.0
E12000007,London,naive,1,29,1996,2024,17047.0,24816.2,6.23,-5598.4
E12000007,London,ses,1,29,1996,2024,17101.9,24893.9,6.24,-5655.3
E12000007,London,arima,2,28,1996,2023,34769.9,50698.1,13.13,-329.6
E12000007,London,drift,2,28,1996,2023,33392.3,43781.4,12.48,-12039.0
E12000007,London,ets_damped,2,28,1996,2023,30610.6,45086.3,11.88,-9263.9
E12000007,London,holt,2,28,1996,2023,33858.2,49283.2,12.96,-7335.6
E12000007,London,linear_trend,2,28,1996,2023,68556.9,77621.3,25.1,-21679.8
E12000007,London,naive,2,28,1996,2023,31154.8,40777.5,11.15,-11343.9
E12000007,London,ses,2,28,1996,2023,31267.8,40878.5,11.19,-11398.3
E12000007,London,arima,3,27,1996,2022,56163.8,77467.9,20.37,-1954.0
E12000007,London,drift,3,27,1996,2022,51306.4,62768.5,18.98,-18454.9
E12000007,London,ets_damped,3,27,1996,2022,51387.1,67692.7,19.47,-15127.1
E12000007,London,holt,3,27,1996,2022,57795.9,76823.3,21.63,-12842.5
E12000007,London,linear_trend,3,27,1996,2022,81031.2,90660.6,29.33,-27258.9
E12000007,London,naive,3,27,1996,2022,46512.6,56761.0,16.58,-17190.7
E12000007,London,ses,3,27,1996,2022,46631.0,56851.2,16.62,-17241.1
E12000007,London,arima,5,25,1996,2020,96650.5,131764.5,34.8,-11276.2
E12000007,London,drift,5,25,1996,2020,88123.8,98405.1,31.34,-29748.2
E12000007,London,ets_damped,5,25,1996,2020,95042.5,110091.1,34.5,-27974.9
E12000007,London,holt,5,25,1996,2020,108344.6,134784.1,39.28,-27318.5
E12000007,London,linear_trend,5,25,1996,2020,104272.2,116900.6,36.32,-38439.2
E12000007,London,naive,5,25,1996,2020,75735.9,84263.8,26.3,-27038.8
E12000007,London,ses,5,25,1996,2020,75824.4,84323.7,26.33,-27070.3
E12000008,South East,arima,1,29,1996,2024,9544.9,13255.9,6.35,289.1
E12000008,South East,drift,1,29,1996,2024,9374.7,13707.3,6.05,780.7
E12000008,South East,ets_damped,1,29,1996,2024,8636.5,12162.0,5.74,-341.0
E12000008,South East,holt,1,29,1996,2024,8768.8,12371.0,5.8,125.1
E12000008,South East,linear_trend,1,29,1996,2024,44980.4,50328.9,31.74,8304.2
E12000008,South East,naive,1,29,1996,2024,9472.4,13359.0,5.99,-361.5
E12000008,South East,ses,1,29,1996,2024,9541.4,13428.8,6.04,-367.6
E12000008,South East,arima,2,28,1996,2023,18743.9,24441.0,12.37,426.4
E12000008,South East,drift,2,28,1996,2023,18778.6,24895.0,12.23,1442.5
E12000008,South East,ets_damped,2,28,1996,2023,15073.3,21415.6,9.81,62.1
E12000008,South East,holt,2,28,1996,2023,16604.0,22450.9,10.92,-107.1
E12000008,South East,linear_trend,2,28,1996,2023,53197.0,58309.5,37.36,7964.5
E12000008,South East,naive,2,28,1996,2023,18853.9,23686.5,11.93,-940.2
E12000008,South East,ses,2,28,1996,2023,18934.5,23762.6,11.98,-946.4
E12000008,South East,arima,3,27,1996,2022,29343.6,38509.0,19.37,425.0
E12000008,South East,drift,3,27,1996,2022,28562.7,36353.3,18.92,2261.2
E12000008,South East,ets_damped,3,27,1996,2022,25637.5,32654.4,16.48,806.8
E12000008,South East,holt,3,27,1996,2022,26778.5,35353.6,17.5,-402.8
E12000008,South East,linear_trend,3,27,1996,2022,61646.4,66654.5,43.07,7423.3
E12000008,South East,naive,3,27,1996,2022,28098.8,33818.7,17.92,-1472.2
E12000008,South East,ses,3,27,1996,2022,28170.3,33888.6,17.97,-1477.8
E12000008,South East,arima,5,25,1996,2020,55213.6,67943.6,37.75,946.8
E12000008,South East,drift,5,25,1996,2020,49035.7,58778.5,32.97,5261.4
E12000008,South East,ets_damped,5,25,1996,2020,44541.9,54249.7,28.71,4664.0
E12000008,South East,holt,5,25,1996,2020,50291.9,61356.1,34.65,1072.9
E12000008,South East,linear_trend,5,25,1996,2020,78437.2,83713.4,54.03,5848.6
E12000008,South East,naive,5,25,1996,2020,45414.9,52320.7,29.53,-1611.5
E12000008,South East,ses,5,25,1996,2020,45480.4,52384.8,29.57,-1615.9
E12000009,South West,arima,1,29,1996,2024,11276.0,17499.9,8.1,-155.4
E12000009,South West,drift,1,29,1996,2024,9262.9,14882.1,6.97,-24.3
E12000009,South West,ets_damped,1,29,1996,2024,11157.9,17573.5,8.29,-234.2
E12000009,South West,holt,1,29,1996,2024,11232.2,18445.0,8.32,207.9
E12000009,South West,linear_trend,1,29,1996,2024,28271.5,34290.7,22.21,4458.4
E12000009,South West,naive,1,29,1996,2024,9382.4,14649.6,7.05,-1667.1
E12000009,South West,ses,1,29,1996,2024,9586.4,14738.2,7.26,-1721.9
E12000009,South West,arima,2,28,1996,2023,21560.4,33048.0,15.58,-275.8
E12000009,South West,drift,2,28,1996,2023,16596.3,24408.3,12.49,-39.2
E12000009,South West,ets_damped,2,28,1996,2023,19474.3,28531.1,14.59,9.7
E12000009,South West,holt,2,28,1996,2023,20012.9,30898.7,15.07,267.8
E12000009,South West,linear_trend,2,28,1996,2023,33312.7,39548.1,26.09,4257.5
E12000009,South West,naive,2,28,1996,2023,16895.1,23590.5,12.52,-3359.1
E12000009,South West,ses,2,28,1996,2023,16991.3,23726.1,12.58,-3416.0
E12000009,South West,arima,3,27,1996,2022,33248.6,50745.5,24.93,-953.0
E12000009,South West,drift,3,27,1996,2022,24757.4,33300.0,18.95,-61.3
E12000009,South West,ets_damped,3,27,1996,2022,29211.2,39973.8,22.42,498.0
E12000009,South West,holt,3,27,1996,2022,30304.3,44726.7,23.55,288.5
E12000009,South West,linear_trend,3,27,1996,2022,38825.9,44745.4,30.24,3996.3
E12000009,South West,naive,3,27,1996,2022,24593.1,31590.1,18.42,-5091.1
E12000009,South West,ses,3,27,1996,2022,24813.9,31760.0,18.62,-5147.3
E12000009,South West,arima,5,25,1996,2020,55435.2,84715.7,45.35,-1944.0
E12000009,South West,drift,5,25,1996,2020,36228.6,46975.9,29.04,714.5
E12000009,South West,ets_damped,5,25,1996,2020,40938.6,55372.1,33.23,2979.2
E12000009,South West,holt,5,25,1996,2020,46305.6,67789.0,38.06,937.9
E12000009,South West,linear_trend,5,25,1996,2020,49973.2,54665.9,38.37,2808.1
E12000009,South West,naive,5,25,1996,2020,36261.5,42806.2,27.78,-7983.6
E12000009,South West,ses,5,25,1996,2020,36341.4,43001.6,27.8,-8038.4
