region_code,region_name,model,horizon_years,n_origins,first_origin_year,last_origin_year,mae,rmse,mape_pct,mean_error_bias
E12000007,London,linear_trend,5,25,1996,2020,104272.2,116900.6,36.32,-38439.2
E12000007,London,naive,5,25,1996,2020,75735.9,84263.8,26.3,-27038.8
E12000007,London,ses,5,25,1996,2020,75824.4,84323.7,26.33,-27070.3
E12000008,South East,drift,1,29,1996,2024,9374.7,13707.3,6.05,780.7
E12000008,South East,holt,1,29,1996,2024,8768.8,12371.0,5.8,125.1
E12000008,South East,linear_trend,1,29,1996,2024,44980.4,50328.9,31.74,8304.2
E12000008,South East,naive,1,29,1996,2024,9472.4,13359.0,5.99,-361.5
E12000008,South East,ses,1,29,1996,2024,9541.4,13428.8,6.04,-367.6
E12000008,South East,drift,2,28,1996,2023,18778.6,24895.0,12.23,1442.5
E12000008,South East,holt,2,28,1996,2023,16604.0,22450.9,10.92,-107.1
E12000008,South East,linear_trend,2,28,1996,2023,53197.0,58309.5,37.36,7964.5
E12000008,South East,naive,2,28,1996,2023,18853.9,23686.5,11.93,-940.2
E12000008,South East,ses,2,28,1996,2023,18934.5,23762.6,11.98,-946.4
E12000008,South East,drift,3,27,1996,2022,28562.7,36353.3,18.92,2261.2
E12000008,South East,holt,3,27,1996,2022,26778.5,35353.6,17.5,-402.8
E12000008,South East,linear_trend,3,27,1996,2022,61646.4,66654.5,43.07,7423.3
E12000008,South East,naive,3,27,1996,2022,28098.8,33818.7,17.92,-1472.2
E12000008,South East,ses,3,27,1996,2022,28170.3,33888.6,17.97,-1477.8
E12000008,South East,drift,5,25,1996,2020,49035.7,58778.5,32.97,5261.4
E12000008,South East,holt,5,25,1996,2020,50291.9,61356.1,34.65,1072.9
E12000008,South East,linear_trend,5,25,1996,2020,78437.2,83713.4,54.03,5848.6
E12000008,South East,naive,5,25,1996,2020,45414.9,52320.7,29.53,-1611.5
E12000008,South East,ses,5,25,1996,2020,45480.4,52384.8,29.57,-1615.9
E12000009,South West,drift,1,29,1996,2024,9262.9,14882.1,6.97,-24.3
E12000009,South West,holt,1,29,1996,2024,11232.2,18445.0,8.32,207.9
E12000009,South West,linear_trend,1,29,1996,2024,28271.5,34290.7,22.21,4458.4
E12000009,South West,naive,1,29,1996,2024,9382.4,14649.6,7.05,-1667.1
E12000009,South West,ses,1,29,1996,2024,9586.4,14738.2,7.26,-1721.9
E12000009,South West,drift,2,28,1996,2023,16596.3,24408.3,12.49,-39.2
E12000009,South West,holt,2,28,1996,2023,20012.9,30898.7,15.07,267.8
E12000009,South West,linear_trend,2,28,1996,2023,33312.7,39548.1,26.09,4257.5
E12000009,South West,naive,2,28,1996,2023,16895.1,23590.5,12.52,-3359.1
E12000009,South West,ses,2,28,1996,2023,16991.3,23726.1,12.58,-3416.0
E12000009,South West,drift,3,27,1996,2022,24757.4,33300.0,18.95,-61.3
E12000009,South West,holt,3,27,1996,2022,30304.3,44726.7,23.55,288.5
E12000009,South West,linear_trend,3,27,1996,2022,38825.9,44745.4,30.24,3996.3
E12000009,South West,naive,3,27,1996,2022,24593.1,31590.1,18.42,-5091.1
E12000009,South West,ses,3,27,1996,2022,24813.9,31760.0,18.62,-5147.3
E12000009,South West,drift,5,25,1996,2020,36228.6,46975.9,29.04,714.5
E12000009,South West,holt,5,25,1996,2020,46305.6,67789.0,38.06,937.9
E12000009,South West,linear_trend,5,25,1996,2020,49973.2,54665.9,38.37,2808.1
E12000009,South West,naive,5,25,1996,2020,36261.5,42806.2,27.78,-7983.6
E12000009,South West,ses,5,25,1996,2020,36341.4,43001.6,27.8,-8038.4
